# travis150_greenfield_proxy_recorder: 
"time", "travis_source:voltage", "travis_poi:voltage", "travis_source:angle", "travis_poi:angle", "travis_source:busgenerationreal", "travis_poi:busgenerationreal", "travis_source:busloadreal", "travis_poi:busloadreal"
0s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.02s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.04s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.06s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.08s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.1s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.12s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.14s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.16s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.18s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.2s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.22s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.24s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.26s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.28s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.3s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.32s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.34s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.36s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.38s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.4s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.42s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.44s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.46s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.48s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.5s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.52s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.54s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.56s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.58s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.6s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.62s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.64s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.66s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.68s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.7s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.72s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.74s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.76s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.78s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.8s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.82s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.84s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.86s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.88s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.9s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.92s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.94s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.96s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
0.98s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.02s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.04s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.06s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.08s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.1s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.12s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.14s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.16s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.18s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.2s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.22s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.24s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.26s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.28s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.3s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.32s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.34s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.36s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.38s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.4s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.42s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.44s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.46s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.48s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.5s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.52s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.54s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.56s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.58s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.6s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.62s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.64s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.66s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.68s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.7s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.72s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.74s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.76s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.78s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.8s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.82s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.84s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.86s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.88s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.9s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.92s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.94s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.96s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
1.98s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.02s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.04s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.06s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.08s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.1s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.12s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.14s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.16s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.18s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.2s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.22s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.24s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.26s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.28s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.3s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.32s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.34s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.36s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.38s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.4s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.42s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.44s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.46s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.48s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.5s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.52s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.54s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.56s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.58s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.6s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.62s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.64s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.66s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.68s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.7s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.72s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.74s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.76s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.78s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.8s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
2.82s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
