event,fault_duration_s,scenario,poi_min_pu,dc_ac_min_pu,load_boundary_min_pu,min_served,tripped,opendss_ok
0,0.042,C1,0.09603573,0.0925834616960146,0.0925834616960146,0.0,True,True
0,0.042,C2,0.09603573,0.0925834616960146,0.0925834616960146,0.0,True,True
0,0.042,C3,0.09603573,0.0925834616960146,1.0,1.0,False,True
1,0.05,C1,0.09359132,0.0902269227328146,0.0902269227328146,0.0,True,True
1,0.05,C2,0.09359132,0.0925834616960146,0.0925834616960146,0.0,True,True
1,0.05,C3,0.09359132,0.0925834616960146,1.0,1.0,False,True
2,0.066,C1,0.0919935,0.0886865407649041,0.0886865407649041,0.0,True,True
2,0.066,C2,0.0919935,0.0925834616960146,0.0925834616960146,0.0,True,True
2,0.066,C3,0.0919935,0.0912743963146765,1.0,1.0,False,True
3,0.058,C1,0.09359132,0.0902269227328146,0.0902269227328146,0.0,True,True
3,0.058,C2,0.09359132,0.0925834616960146,0.0925834616960146,0.0,True,True
3,0.058,C3,0.09359132,0.0925834616960146,1.0,1.0,False,True
4,0.045,C1,0.09359132,0.0902269227328146,0.0902269227328146,0.0,True,True
4,0.045,C2,0.09359132,0.0925834616960146,0.0925834616960146,0.0,True,True
4,0.045,C3,0.09359132,0.0925834616960146,1.0,1.0,False,True
5,0.06,C1,0.09359132,0.0902269227328146,0.0902269227328146,0.0,True,True
5,0.06,C2,0.09359132,0.0925834616960146,0.0925834616960146,0.0,True,True
5,0.06,C3,0.09359132,0.0925834616960146,1.0,1.0,False,True
