time_s,poi_voltage_pu,poi_angle_rad,poi_bus
0.000000,1.01660454,-0.13451618,150
0.020000,1.01656852,-0.13620191,150
0.040000,1.01670801,-0.13734454,150
0.060000,1.01681083,-0.13807864,150
0.080000,1.01684617,-0.13858181,150
0.100000,1.01682941,-0.13897980,150
0.120000,1.01678109,-0.13934732,150
0.140000,1.01671722,-0.13972527,150
0.160000,1.01664852,-0.14013491,150
0.180000,1.01658159,-0.14058677,150
0.200000,1.01652022,-0.14108575,150
0.220000,1.01646632,-0.14163383,150
0.240000,1.01642061,-0.14223148,150
0.260000,1.01638305,-0.14287841,150
0.280000,1.01635317,-0.14357394,150
0.300000,1.01633025,-0.14431718,150
0.320000,1.01631347,-0.14510715,150
0.340000,1.01630196,-0.14594283,150
0.360000,1.01629492,-0.14682315,150
0.380000,1.01629159,-0.14774707,150
0.400000,1.01629128,-0.14871354,150
0.420000,1.01629342,-0.14972153,150
0.440000,1.01629750,-0.15077001,150
0.460000,1.01630309,-0.15185799,150
0.480000,1.01630985,-0.15298446,150
0.500000,1.01631747,-0.15414846,150
0.520000,1.01632573,-0.15534902,150
0.540000,1.01633442,-0.15658520,150
0.560000,1.01634339,-0.15785608,150
0.580000,1.01635251,-0.15916072,150
0.600000,1.01636168,-0.16049825,150
0.620000,1.01637081,-0.16186776,150
0.640000,1.01637983,-0.16326839,150
0.660000,1.01638868,-0.16469928,150
0.680000,1.01639732,-0.16615958,150
0.700000,1.01640570,-0.16764846,150
0.720000,1.01641378,-0.16916511,150
0.740000,1.01642154,-0.17070870,150
0.760000,1.01642896,-0.17227845,150
0.780000,1.01643601,-0.17387357,150
0.800000,1.01644267,-0.17549327,150
0.820000,1.01644893,-0.17713680,150
0.840000,1.01645478,-0.17880339,150
0.860000,1.01646021,-0.18049229,150
0.880000,1.01646523,-0.18220276,150
0.900000,1.01646984,-0.18393405,150
0.920000,1.01647403,-0.18568545,150
0.940000,1.01647782,-0.18745622,150
0.960000,1.01648122,-0.18924564,150
0.980000,1.01648425,-0.19105301,150
1.000000,0.10224176,0.02029028,150
1.020000,0.09603573,0.17736983,150
1.040000,0.09359132,0.21213263,150
1.060000,0.09199350,0.22889503,150
1.080000,0.90856399,0.01010291,150
1.100000,0.94997064,-0.05878762,150
1.120000,0.97747884,-0.08318458,150
1.140000,0.99612096,-0.08684795,150
1.160000,1.00982130,-0.08052376,150
1.180000,1.02085653,-0.06938779,150
1.200000,1.03016450,-0.05617392,150
1.220000,1.03832361,-0.04222329,150
1.240000,1.04551542,-0.02826351,150
1.260000,1.05171547,-0.01470013,150
1.280000,1.05664112,-0.00178196,150
1.300000,1.06032734,0.01043578,150
1.320000,1.06289990,0.02191223,150
1.340000,1.06450612,0.03260740,150
1.360000,1.06529789,0.04248543,150
1.380000,1.06542110,0.05151728,150
1.400000,1.06500934,0.05968239,150
1.420000,1.06418067,0.06696959,150
1.440000,1.06303649,0.07337712,150
1.460000,1.06166178,0.07891232,150
1.480000,1.06012630,0.08359079,150
1.500000,1.05848618,0.08743529,150
1.520000,1.05678588,0.09047450,150
1.540000,1.05506012,0.09274166,150
1.560000,1.05333568,0.09427318,150
1.580000,1.05163314,0.09510733,150
1.600000,1.04996823,0.09528303,150
1.620000,1.04835312,0.09483872,150
1.640000,1.04679727,0.09381160,150
1.660000,1.04530816,0.09223684,150
1.680000,1.04389177,0.09014727,150
1.700000,1.04255285,0.08757307,150
1.720000,1.04129508,0.08454178,150
1.740000,1.04012115,0.08107846,150
1.760000,1.03903267,0.07720597,150
1.780000,1.03803016,0.07294532,150
1.800000,1.03711301,0.06831613,150
1.820000,1.03627937,0.06333700,150
1.840000,1.03552623,0.05802596,150
1.860000,1.03484939,0.05240080,150
1.880000,1.03424360,0.04647931,150
1.900000,1.03370268,0.04027948,150
1.920000,1.03321967,0.03381956,150
1.940000,1.03278709,0.02711807,150
1.960000,1.03239711,0.02019367,150
1.980000,1.03204183,0.01306500,150
2.000000,1.03171349,0.00575048,150
2.020000,1.03140469,-0.00173197,150
2.040000,1.03110861,-0.00936518,150
2.060000,1.03081918,-0.01713300,150
2.080000,1.03053116,-0.02502050,150
2.100000,1.03024029,-0.03301418,150
2.120000,1.02994326,-0.04110204,150
2.140000,1.02963775,-0.04927369,150
2.160000,1.02932237,-0.05752024,150
2.180000,1.02899653,-0.06583426,150
2.200000,1.02866037,-0.07420959,150
2.220000,1.02831461,-0.08264109,150
2.240000,1.02796037,-0.09112440,150
2.260000,1.02759907,-0.09965566,150
2.280000,1.02723227,-0.10823118,150
2.300000,1.02686158,-0.11684721,150
2.320000,1.02648853,-0.12549964,150
2.340000,1.02611457,-0.13418384,150
2.360000,1.02574097,-0.14289452,150
2.380000,1.02536889,-0.15162559,150
2.400000,1.02499933,-0.16037017,150
2.420000,1.02463319,-0.16912064,150
2.440000,1.02427135,-0.17786865,150
2.460000,1.02391464,-0.18660531,150
2.480000,1.02356396,-0.19532132,150
2.500000,1.02322027,-0.20400713,150
2.520000,1.02288465,-0.21265313,150
2.540000,1.02255828,-0.22124982,150
2.560000,1.02224245,-0.22978798,150
2.580000,1.02193854,-0.23825881,150
2.600000,1.02164798,-0.24665401,150
2.620000,1.02137218,-0.25496592,150
2.640000,1.02111254,-0.26318752,150
2.660000,1.02087030,-0.27131248,150
2.680000,1.02064655,-0.27933515,150
2.700000,1.02044214,-0.28725053,150
2.720000,1.02025765,-0.29505423,150
2.740000,1.02009333,-0.30274242,150
2.760000,1.01994909,-0.31031176,150
2.780000,1.01982449,-0.31775936,150
2.800000,1.01971874,-0.32508272,150
2.820000,1.01963073,-0.33227970,150
2.840000,1.01955904,-0.33934846,150
2.860000,1.01950200,-0.34628746,150
2.880000,1.01945776,-0.35309548,150
2.900000,1.01942428,-0.35977156,150
2.920000,1.01939947,-0.36631506,150
2.940000,1.01938122,-0.37272568,150
2.960000,1.01936742,-0.37900345,150
2.980000,1.01935607,-0.38514878,150
