architecture,campus_count,cluster_load_GW,voltage_kV,short_circuit_ratio,phase_mode,corridor_length_km,rss_0p1_20hz_MW,rss_0p1_20hz_pct_load,p99_ramp_MW_s,p99_ramp_pct_load_per_s,p95_pcc_voltage_deviation_pct,buffer_energy_window_MWh,buffer_energy_window_MWh_per_GW,buffer_max_discharge_MW_per_GW,buffer_max_charge_MW_per_GW
Traditional AC,1,0.25,69,3,random,5,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,7.2685738270434035,,,,
Local SST,1,0.25,69,3,random,5,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,4.318320967285372,,,,
Subtransmission DC backbone,1,0.25,69,3,random,5,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.9268890343105903,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,3,random,20,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,8.883812455275269,,,,
Local SST,1,0.25,69,3,random,20,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,5.277947848904342,,,,
Subtransmission DC backbone,1,0.25,69,3,random,20,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,1.132864375268499,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,3,random,50,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,12.114289711739003,,,,
Local SST,1,0.25,69,3,random,50,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,7.197201612142285,,,,
Subtransmission DC backbone,1,0.25,69,3,random,50,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,1.544815057184317,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,3,random,100,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,17.498418472511897,,,,
Local SST,1,0.25,69,3,random,100,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,10.395957884205524,,,,
Subtransmission DC backbone,1,0.25,69,3,random,100,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,2.231399527044014,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,3,partial,5,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,7.2685738270434035,,,,
Local SST,1,0.25,69,3,partial,5,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,4.318320967285372,,,,
Subtransmission DC backbone,1,0.25,69,3,partial,5,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.9268890343105903,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,3,partial,20,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,8.883812455275269,,,,
Local SST,1,0.25,69,3,partial,20,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,5.277947848904342,,,,
Subtransmission DC backbone,1,0.25,69,3,partial,20,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,1.132864375268499,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,3,partial,50,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,12.114289711739003,,,,
Local SST,1,0.25,69,3,partial,50,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,7.197201612142285,,,,
Subtransmission DC backbone,1,0.25,69,3,partial,50,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,1.544815057184317,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,3,partial,100,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,17.498418472511897,,,,
Local SST,1,0.25,69,3,partial,100,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,10.395957884205524,,,,
Subtransmission DC backbone,1,0.25,69,3,partial,100,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,2.231399527044014,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,3,coherent,5,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,7.2685738270434035,,,,
Local SST,1,0.25,69,3,coherent,5,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,4.318320967285372,,,,
Subtransmission DC backbone,1,0.25,69,3,coherent,5,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.9268890343105903,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,3,coherent,20,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,8.883812455275269,,,,
Local SST,1,0.25,69,3,coherent,20,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,5.277947848904342,,,,
Subtransmission DC backbone,1,0.25,69,3,coherent,20,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,1.132864375268499,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,3,coherent,50,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,12.114289711739003,,,,
Local SST,1,0.25,69,3,coherent,50,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,7.197201612142285,,,,
Subtransmission DC backbone,1,0.25,69,3,coherent,50,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,1.544815057184317,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,3,coherent,100,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,17.498418472511897,,,,
Local SST,1,0.25,69,3,coherent,100,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,10.395957884205524,,,,
Subtransmission DC backbone,1,0.25,69,3,coherent,100,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,2.231399527044014,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,5,random,5,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,4.361144296226042,,,,
Local SST,1,0.25,69,5,random,5,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,2.5909925803712226,,,,
Subtransmission DC backbone,1,0.25,69,5,random,5,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.5561334205863543,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,5,random,20,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,5.330287473165162,,,,
Local SST,1,0.25,69,5,random,20,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,3.1667687093426053,,,,
Subtransmission DC backbone,1,0.25,69,5,random,20,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.6797186251610995,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,5,random,50,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,7.2685738270434035,,,,
Local SST,1,0.25,69,5,random,50,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,4.318320967285371,,,,
Subtransmission DC backbone,1,0.25,69,5,random,50,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.9268890343105903,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,5,random,100,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,10.499051083507139,,,,
Local SST,1,0.25,69,5,random,100,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,6.237574730523313,,,,
Subtransmission DC backbone,1,0.25,69,5,random,100,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,1.3388397162264085,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,5,partial,5,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,4.361144296226042,,,,
Local SST,1,0.25,69,5,partial,5,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,2.5909925803712226,,,,
Subtransmission DC backbone,1,0.25,69,5,partial,5,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.5561334205863543,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,5,partial,20,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,5.330287473165162,,,,
Local SST,1,0.25,69,5,partial,20,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,3.1667687093426053,,,,
Subtransmission DC backbone,1,0.25,69,5,partial,20,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.6797186251610995,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,5,partial,50,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,7.2685738270434035,,,,
Local SST,1,0.25,69,5,partial,50,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,4.318320967285371,,,,
Subtransmission DC backbone,1,0.25,69,5,partial,50,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.9268890343105903,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,5,partial,100,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,10.499051083507139,,,,
Local SST,1,0.25,69,5,partial,100,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,6.237574730523313,,,,
Subtransmission DC backbone,1,0.25,69,5,partial,100,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,1.3388397162264085,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,5,coherent,5,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,4.361144296226042,,,,
Local SST,1,0.25,69,5,coherent,5,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,2.5909925803712226,,,,
Subtransmission DC backbone,1,0.25,69,5,coherent,5,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.5561334205863543,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,5,coherent,20,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,5.330287473165162,,,,
Local SST,1,0.25,69,5,coherent,20,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,3.1667687093426053,,,,
Subtransmission DC backbone,1,0.25,69,5,coherent,20,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.6797186251610995,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,5,coherent,50,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,7.2685738270434035,,,,
Local SST,1,0.25,69,5,coherent,50,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,4.318320967285371,,,,
Subtransmission DC backbone,1,0.25,69,5,coherent,50,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.9268890343105903,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,5,coherent,100,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,10.499051083507139,,,,
