panel,cluster_load_gw,pole_voltage_kv,bipole_voltage_kv,single_bipole_current_ka
5b,0.1,69,138,0.7246376811594203
5b,0.1,138,276,0.36231884057971014
5b,0.1,230,460,0.21739130434782608
5b,0.1,320,640,0.15625
5b,0.13288590604026845,69,138,0.9629413481178873
5b,0.13288590604026845,138,276,0.48147067405894367
5b,0.13288590604026845,230,460,0.2888824044353662
5b,0.13288590604026845,320,640,0.20763422818791946
5b,0.16577181208053693,69,138,1.2012450150763545
5b,0.16577181208053693,138,276,0.6006225075381773
5b,0.16577181208053693,230,460,0.3603735045229064
5b,0.16577181208053693,320,640,0.259018456375839
5b,0.1986577181208054,69,138,1.439548682034822
5b,0.1986577181208054,138,276,0.719774341017411
5b,0.1986577181208054,230,460,0.43186460461044657
5b,0.1986577181208054,320,640,0.31040268456375847
5b,0.23154362416107385,69,138,1.6778523489932888
5b,0.23154362416107385,138,276,0.8389261744966444
5b,0.23154362416107385,230,460,0.5033557046979866
5b,0.23154362416107385,320,640,0.3617869127516779
5b,0.2644295302013423,69,138,1.9161560159517559
5b,0.2644295302013423,138,276,0.9580780079758779
5b,0.2644295302013423,230,460,0.5748468047855267
5b,0.2644295302013423,320,640,0.4131711409395974
5b,0.2973154362416108,69,138,2.1544596829102227
5b,0.2973154362416108,138,276,1.0772298414551114
5b,0.2973154362416108,230,460,0.646337904873067
5b,0.2973154362416108,320,640,0.4645553691275168
5b,0.33020134228187925,69,138,2.39276334986869
5b,0.33020134228187925,138,276,1.196381674934345
5b,0.33020134228187925,230,460,0.7178290049606071
5b,0.33020134228187925,320,640,0.5159395973154364
5b,0.36308724832214767,69,138,2.6310670168271573
5b,0.36308724832214767,138,276,1.3155335084135786
5b,0.36308724832214767,230,460,0.7893201050481471
5b,0.36308724832214767,320,640,0.5673238255033557
5b,0.3959731543624162,69,138,2.869370683785625
5b,0.3959731543624162,138,276,1.4346853418928125
5b,0.3959731543624162,230,460,0.8608112051356873
5b,0.3959731543624162,320,640,0.6187080536912754
5b,0.4288590604026846,69,138,3.1076743507440914
5b,0.4288590604026846,138,276,1.5538371753720457
5b,0.4288590604026846,230,460,0.9323023052232274
5b,0.4288590604026846,320,640,0.6700922818791948
5b,0.46174496644295304,69,138,3.345978017702558
5b,0.46174496644295304,138,276,1.672989008851279
5b,0.46174496644295304,230,460,1.0037934053107676
5b,0.46174496644295304,320,640,0.7214765100671142
5b,0.4946308724832216,69,138,3.584281684661026
5b,0.4946308724832216,138,276,1.792140842330513
5b,0.4946308724832216,230,460,1.0752845053983078
5b,0.4946308724832216,320,640,0.7728607382550338
5b,0.52751677852349,69,138,3.8225853516194928
5b,0.52751677852349,138,276,1.9112926758097464
5b,0.52751677852349,230,460,1.1467756054858478
5b,0.52751677852349,320,640,0.8242449664429531
5b,0.5604026845637584,69,138,4.060889018577959
5b,0.5604026845637584,138,276,2.0304445092889796
5b,0.5604026845637584,230,460,1.2182667055733878
5b,0.5604026845637584,320,640,0.8756291946308724
5b,0.5932885906040269,69,138,4.299192685536427
5b,0.5932885906040269,138,276,2.1495963427682137
5b,0.5932885906040269,230,460,1.2897578056609282
5b,0.5932885906040269,320,640,0.9270134228187921
5b,0.6261744966442954,69,138,4.537496352494894
5b,0.6261744966442954,138,276,2.268748176247447
5b,0.6261744966442954,230,460,1.3612489057484682
5b,0.6261744966442954,320,640,0.9783976510067115
5b,0.6590604026845638,69,138,4.775800019453361
5b,0.6590604026845638,138,276,2.3879000097266805
5b,0.6590604026845638,230,460,1.432740005836008
5b,0.6590604026845638,320,640,1.029781879194631
5b,0.6919463087248323,69,138,5.014103686411828
5b,0.6919463087248323,138,276,2.507051843205914
5b,0.6919463087248323,230,460,1.5042311059235485
5b,0.6919463087248323,320,640,1.0811661073825505
5b,0.7248322147651007,69,138,5.252407353370295
5b,0.7248322147651007,138,276,2.6262036766851473
5b,0.7248322147651007,230,460,1.5757222060110885
5b,0.7248322147651007,320,640,1.1325503355704698
5b,0.7577181208053693,69,138,5.490711020328763
5b,0.7577181208053693,138,276,2.7453555101643814
5b,0.7577181208053693,230,460,1.647213306098629
5b,0.7577181208053693,320,640,1.1839345637583896
5b,0.7906040268456377,69,138,5.729014687287229
5b,0.7906040268456377,138,276,2.8645073436436146
5b,0.7906040268456377,230,460,1.718704406186169
5b,0.7906040268456377,320,640,1.235318791946309
5b,0.8234899328859061,69,138,5.9673183542456965
5b,0.8234899328859061,138,276,2.9836591771228482
5b,0.8234899328859061,230,460,1.7901955062737087
5b,0.8234899328859061,320,640,1.2867030201342284
5b,0.8563758389261746,69,138,6.205622021204165
5b,0.8563758389261746,138,276,3.1028110106020823
5b,0.8563758389261746,230,460,1.8616866063612492
5b,0.8563758389261746,320,640,1.3380872483221478
5b,0.8892617449664431,69,138,6.443925688162631
5b,0.8892617449664431,138,276,3.2219628440813155
5b,0.8892617449664431,230,460,1.9331777064487892
5b,0.8892617449664431,320,640,1.3894714765100673
5b,0.9221476510067115,69,138,6.682229355121097
5b,0.9221476510067115,138,276,3.3411146775605487
5b,0.9221476510067115,230,460,2.0046688065363294
5b,0.9221476510067115,320,640,1.4408557046979868
5b,0.95503355704698,69,138,6.920533022079565
5b,0.95503355704698,138,276,3.4602665110397823
5b,0.95503355704698,230,460,2.0761599066238694
5b,0.95503355704698,320,640,1.4922399328859062
