time_s,poi_voltage_pu,poi_angle_rad,poi_bus
0.000000,1.01660454,-0.13451618,150
0.020000,1.01656852,-0.13620191,150
0.040000,1.01670801,-0.13734454,150
0.060000,1.01681083,-0.13807864,150
0.080000,1.01684617,-0.13858181,150
0.100000,1.01682941,-0.13897980,150
0.120000,1.01678109,-0.13934732,150
0.140000,1.01671722,-0.13972527,150
0.160000,1.01664852,-0.14013491,150
0.180000,1.01658159,-0.14058677,150
0.200000,1.01652022,-0.14108575,150
0.220000,1.01646632,-0.14163383,150
0.240000,1.01642061,-0.14223148,150
0.260000,1.01638305,-0.14287841,150
0.280000,1.01635317,-0.14357394,150
0.300000,1.01633025,-0.14431718,150
0.320000,1.01631347,-0.14510715,150
0.340000,1.01630196,-0.14594283,150
0.360000,1.01629492,-0.14682315,150
0.380000,1.01629159,-0.14774707,150
0.400000,1.01629128,-0.14871354,150
0.420000,1.01629342,-0.14972153,150
0.440000,1.01629750,-0.15077001,150
0.460000,1.01630309,-0.15185799,150
0.480000,1.01630985,-0.15298446,150
0.500000,1.01631747,-0.15414846,150
0.520000,1.01632573,-0.15534902,150
0.540000,1.01633442,-0.15658520,150
0.560000,1.01634339,-0.15785608,150
0.580000,1.01635251,-0.15916072,150
0.600000,1.01636168,-0.16049825,150
0.620000,1.01637081,-0.16186776,150
0.640000,1.01637983,-0.16326839,150
0.660000,1.01638868,-0.16469928,150
0.680000,1.01639732,-0.16615958,150
0.700000,1.01640570,-0.16764846,150
0.720000,1.01641378,-0.16916511,150
0.740000,1.01642154,-0.17070870,150
0.760000,1.01642896,-0.17227845,150
0.780000,1.01643601,-0.17387357,150
0.800000,1.01644267,-0.17549327,150
0.820000,1.01644893,-0.17713680,150
0.840000,1.01645478,-0.17880339,150
0.860000,1.01646021,-0.18049229,150
0.880000,1.01646523,-0.18220276,150
0.900000,1.01646984,-0.18393405,150
0.920000,1.01647403,-0.18568545,150
0.940000,1.01647782,-0.18745622,150
0.960000,1.01648122,-0.18924564,150
0.980000,1.01648425,-0.19105301,150
1.000000,0.10224176,0.02029028,150
1.020000,0.09603573,0.17736983,150
1.040000,0.88714409,0.09821826,150
1.060000,0.93715589,-0.03938514,150
1.080000,0.97292571,-0.09758660,150
1.100000,0.99654521,-0.12025962,150
1.120000,1.01285654,-0.12629860,150
1.140000,1.02498390,-0.12449219,150
1.160000,1.03441617,-0.11922112,150
1.180000,1.04163015,-0.11265414,150
1.200000,1.04665617,-0.10576885,150
1.220000,1.04994094,-0.09891792,150
1.240000,1.05187235,-0.09229694,150
1.260000,1.05276878,-0.08602433,150
1.280000,1.05288926,-0.08017648,150
1.300000,1.05244199,-0.07480438,150
1.320000,1.05159196,-0.06994203,150
1.340000,1.05046792,-0.06561094,150
1.360000,1.04916870,-0.06182282,150
1.380000,1.04776869,-0.05858136,150
1.400000,1.04632274,-0.05588356,150
1.420000,1.04487022,-0.05372081,150
1.440000,1.04343855,-0.05207987,150
1.460000,1.04204607,-0.05094375,150
1.480000,1.04070438,-0.05029251,150
1.500000,1.03942025,-0.05010402,150
1.520000,1.03819710,-0.05035474,150
1.540000,1.03703616,-0.05102033,150
1.560000,1.03593734,-0.05207625,150
1.580000,1.03489981,-0.05349832,150
1.600000,1.03392248,-0.05526309,150
1.620000,1.03300422,-0.05734818,150
1.640000,1.03214401,-0.05973256,150
1.660000,1.03134098,-0.06239660,150
1.680000,1.03059435,-0.06532221,150
1.700000,1.02990340,-0.06849274,150
1.720000,1.02926731,-0.07189292,150
1.740000,1.02868510,-0.07550868,150
1.760000,1.02815548,-0.07932703,150
1.780000,1.02767681,-0.08333581,150
1.800000,1.02724698,-0.08752355,150
1.820000,1.02686343,-0.09187924,150
1.840000,1.02652312,-0.09639224,150
1.860000,1.02622256,-0.10105215,150
1.880000,1.02595784,-0.10584872,150
1.900000,1.02572478,-0.11077183,150
1.920000,1.02551895,-0.11581150,150
1.940000,1.02533582,-0.12095791,150
1.960000,1.02517086,-0.12620150,150
1.980000,1.02501964,-0.13153304,150
2.000000,1.02487799,-0.13694373,150
2.020000,1.02474203,-0.14242527,150
2.040000,1.02460828,-0.14797001,150
2.060000,1.02447373,-0.15357096,150
2.080000,1.02433585,-0.15922188,150
2.100000,1.02419263,-0.16491726,150
2.120000,1.02404258,-0.17065237,150
2.140000,1.02388468,-0.17642312,150
2.160000,1.02371837,-0.18222609,150
2.180000,1.02354348,-0.18805833,150
2.200000,1.02336018,-0.19391732,150
2.220000,1.02316889,-0.19980080,150
2.240000,1.02297027,-0.20570662,150
2.260000,1.02276510,-0.21163262,150
2.280000,1.02255429,-0.21757653,150
2.300000,1.02233877,-0.22353581,150
2.320000,1.02211953,-0.22950761,150
2.340000,1.02189755,-0.23548871,150
2.360000,1.02167380,-0.24147546,150
2.380000,1.02144926,-0.24746382,150
2.400000,1.02122489,-0.25344934,150
2.420000,1.02100167,-0.25942726,150
2.440000,1.02078058,-0.26539252,150
2.460000,1.02056261,-0.27133989,150
2.480000,1.02034882,-0.27726401,150
2.500000,1.02014023,-0.28315952,150
2.520000,1.01993794,-0.28902112,150
2.540000,1.01974300,-0.29484367,150
2.560000,1.01955647,-0.30062225,150
2.580000,1.01937938,-0.30635220,150
2.600000,1.01921269,-0.31202919,150
2.620000,1.01905726,-0.31764925,150
2.640000,1.01891383,-0.32320874,150
2.660000,1.01878299,-0.32870442,150
2.680000,1.01866515,-0.33413338,150
2.700000,1.01856053,-0.33949309,150
2.720000,1.01846915,-0.34478129,150
2.740000,1.01839080,-0.34999605,150
2.760000,1.01832506,-0.35513572,150
2.780000,1.01827130,-0.36019889,150
2.800000,1.01822871,-0.36518439,150
2.820000,1.01819629,-0.37009125,150
2.840000,1.01817293,-0.37491876,150
2.860000,1.01815737,-0.37966637,150
2.880000,1.01814830,-0.38433376,150
2.900000,1.01814435,-0.38892083,150
2.920000,1.01814416,-0.39342767,150
2.940000,1.01814637,-0.39785462,150
2.960000,1.01814968,-0.40220222,150
2.980000,1.01815289,-0.40647126,150
