time_s,poi_voltage_pu,poi_angle_rad,poi_bus,event
0.0,1.01660454,-0.13451618,150,0
0.02,1.01656852,-0.13620191,150,0
0.04,1.01670801,-0.13734454,150,0
0.06,1.01681083,-0.13807864,150,0
0.08,1.01684617,-0.13858181,150,0
0.1,1.01682941,-0.1389798,150,0
0.12,1.01678109,-0.13934732,150,0
0.14,1.01671722,-0.13972527,150,0
0.16,1.01664852,-0.14013491,150,0
0.18,1.01658159,-0.14058677,150,0
0.2,1.01652022,-0.14108575,150,0
0.22,1.01646632,-0.14163383,150,0
0.24,1.01642061,-0.14223148,150,0
0.26,1.01638305,-0.14287841,150,0
0.28,1.01635317,-0.14357394,150,0
0.3,1.01633025,-0.14431718,150,0
0.32,1.01631347,-0.14510715,150,0
0.34,1.01630196,-0.14594283,150,0
0.36,1.01629492,-0.14682315,150,0
0.38,1.01629159,-0.14774707,150,0
0.4,1.01629128,-0.14871354,150,0
0.42,1.01629342,-0.14972153,150,0
0.44,1.0162975,-0.15077001,150,0
0.46,1.01630309,-0.15185799,150,0
0.48,1.01630985,-0.15298446,150,0
0.5,1.01631747,-0.15414846,150,0
0.52,1.01632573,-0.15534902,150,0
0.54,1.01633442,-0.1565852,150,0
0.56,1.01634339,-0.15785608,150,0
0.58,1.01635251,-0.15916072,150,0
0.6,1.01636168,-0.16049825,150,0
0.62,1.01637081,-0.16186776,150,0
0.64,1.01637983,-0.16326839,150,0
0.66,1.01638868,-0.16469928,150,0
0.68,1.01639732,-0.16615958,150,0
0.7,1.0164057,-0.16764846,150,0
0.72,1.01641378,-0.16916511,150,0
0.74,1.01642154,-0.1707087,150,0
0.76,1.01642896,-0.17227845,150,0
0.78,1.01643601,-0.17387357,150,0
0.8,1.01644267,-0.17549327,150,0
0.82,1.01644893,-0.1771368,150,0
0.84,1.01645478,-0.17880339,150,0
0.86,1.01646021,-0.18049229,150,0
0.88,1.01646523,-0.18220276,150,0
0.9,1.01646984,-0.18393405,150,0
0.92,1.01647403,-0.18568545,150,0
0.94,1.01647782,-0.18745622,150,0
0.96,1.01648122,-0.18924564,150,0
0.98,1.01648425,-0.19105301,150,0
1.0,0.10224176,0.02029028,150,0
1.02,0.09603573,0.17736983,150,0
1.04,0.88714409,0.09821826,150,0
1.06,0.93715589,-0.03938514,150,0
1.08,0.97292571,-0.0975866,150,0
1.1,0.99654521,-0.12025962,150,0
1.12,1.01285654,-0.1262986,150,0
1.14,1.0249839,-0.12449219,150,0
1.16,1.03441617,-0.11922112,150,0
1.18,1.04163015,-0.11265414,150,0
1.2,1.04665617,-0.10576885,150,0
1.22,1.04994094,-0.09891792,150,0
1.24,1.05187235,-0.09229694,150,0
1.26,1.05276878,-0.08602433,150,0
1.28,1.05288926,-0.08017648,150,0
1.3,1.05244199,-0.07480438,150,0
1.32,1.05159196,-0.06994203,150,0
1.34,1.05046792,-0.06561094,150,0
1.36,1.0491687,-0.06182282,150,0
1.38,1.04776869,-0.05858136,150,0
1.4,1.04632274,-0.05588356,150,0
1.42,1.04487022,-0.05372081,150,0
1.44,1.04343855,-0.05207987,150,0
1.46,1.04204607,-0.05094375,150,0
1.48,1.04070438,-0.05029251,150,0
1.5,1.03942025,-0.05010402,150,0
1.52,1.0381971,-0.05035474,150,0
1.54,1.03703616,-0.05102033,150,0
1.56,1.03593734,-0.05207625,150,0
1.58,1.03489981,-0.05349832,150,0
1.6,1.03392248,-0.05526309,150,0
1.62,1.03300422,-0.05734818,150,0
1.64,1.03214401,-0.05973256,150,0
1.66,1.03134098,-0.0623966,150,0
1.68,1.03059435,-0.06532221,150,0
1.7,1.0299034,-0.06849274,150,0
1.72,1.02926731,-0.07189292,150,0
