scenario,run,h,vh_pct
Traditional AC,0,5,0.15582350156059946
Traditional AC,0,7,0.17873004996413816
Traditional AC,0,11,1.191740547431996
Traditional AC,0,13,0.7659665147333176
Traditional AC,0,17,0.19467496931277928
Traditional AC,0,19,0.2939427075318477
Traditional AC,0,23,0.5132887372399657
Traditional AC,0,25,0.3128132130459443
Traditional AC,0,29,0.17717970073536465
Traditional AC,0,31,0.10686045561474794
Traditional AC,1,5,0.9731695154000229
Traditional AC,1,7,0.3547902245930954
Traditional AC,1,11,1.6108653579480106
Traditional AC,1,13,0.8934220695758284
Traditional AC,1,17,0.33359265315421244
Traditional AC,1,19,0.10161834859008124
Traditional AC,1,23,0.7813426153626091
Traditional AC,1,25,0.682921301023663
Traditional AC,1,29,0.17679131396624734
Traditional AC,1,31,0.27869880725145096
Traditional AC,2,5,0.2658397289195074
Traditional AC,2,7,0.4953221204824251
Traditional AC,2,11,2.928130486890413
Traditional AC,2,13,0.87299054600229
Traditional AC,2,17,0.38246240479522065
Traditional AC,2,19,0.3481102567866277
Traditional AC,2,23,0.3261614070733761
Traditional AC,2,25,0.2060719494062678
Traditional AC,2,29,0.09947935736373073
Traditional AC,2,31,0.2546737160646022
Traditional AC,3,5,0.6186193909485161
Traditional AC,3,7,0.9181069210762596
Traditional AC,3,11,0.2692513121946415
Traditional AC,3,13,0.28994683326564535
Traditional AC,3,17,0.2744863739793213
Traditional AC,3,19,0.047222959025782454
Traditional AC,3,23,0.5339018739770809
Traditional AC,3,25,0.1876350874250755
Traditional AC,3,29,0.17787404478206503
Traditional AC,3,31,0.09753669707442016
Traditional AC,4,5,0.40839955038795916
Traditional AC,4,7,0.12500405995390929
Traditional AC,4,11,2.3789966805487333
Traditional AC,4,13,0.9183690278696827
Traditional AC,4,17,0.18466383712311013
Traditional AC,4,19,0.5350723657439881
Traditional AC,4,23,0.4166182836101133
Traditional AC,4,25,0.6740507567703452
Traditional AC,4,29,0.4792211806773719
Traditional AC,4,31,0.039618819502079024
Traditional AC,5,5,0.6276787705207093
Traditional AC,5,7,0.26612342688107127
Traditional AC,5,11,1.5852434163154212
Traditional AC,5,13,1.1227131630055176
Traditional AC,5,17,0.25913701643050496
Traditional AC,5,19,0.6005761228173923
Traditional AC,5,23,0.320527127182486
Traditional AC,5,25,0.9251327775654224
Traditional AC,5,29,0.2812217937545622
Traditional AC,5,31,0.21272523563925905
Traditional AC,6,5,0.3772010993696359
Traditional AC,6,7,0.939956060174323
Traditional AC,6,11,0.5565079524379875
Traditional AC,6,13,0.4500807453557145
Traditional AC,6,17,0.32832583766905754
Traditional AC,6,19,0.5971734362894963
Traditional AC,6,23,0.1794528055718669
Traditional AC,6,25,0.4176063377277597
Traditional AC,6,29,0.27137003815841815
Traditional AC,6,31,0.14504520803373086
Traditional AC,7,5,0.4867049273795375
Traditional AC,7,7,0.562053590018758
Traditional AC,7,11,3.2069203461409046
Traditional AC,7,13,2.1398500903648103
Traditional AC,7,17,0.27796627721475425
Traditional AC,7,19,0.5112978190103152
Traditional AC,7,23,0.3670879920853187
Traditional AC,7,25,0.8209851707236283
Traditional AC,7,29,0.2927557283649725
Traditional AC,7,31,0.31317555112042383
Traditional AC,8,5,0.717305057571951
Traditional AC,8,7,1.1193630829080528
Traditional AC,8,11,3.3982611238602596
Traditional AC,8,13,1.134905119500932
Traditional AC,8,17,0.4212375901800608
Traditional AC,8,19,0.16642323509441034
Traditional AC,8,23,0.5283130461387903
Traditional AC,8,25,0.7832655420442295
Traditional AC,8,29,0.14864127381973294
Traditional AC,8,31,0.31045647447855884
Traditional AC,9,5,0.5792354694572366
Traditional AC,9,7,1.1981666728642058
Traditional AC,9,11,2.37122923235635
Traditional AC,9,13,0.6405046981785901
Traditional AC,9,17,0.45392680564668714
Traditional AC,9,19,0.5990398426069526
Traditional AC,9,23,0.709246072583607
Traditional AC,9,25,0.8519606967615917
Traditional AC,9,29,0.1020334898609977
Traditional AC,9,31,0.28844960661760793
Traditional AC,10,5,0.5134683380487622
Traditional AC,10,7,0.3701084699652871
Traditional AC,10,11,0.985796323946183
Traditional AC,10,13,0.7044322119073628
Traditional AC,10,17,0.1659575086505097
Traditional AC,10,19,0.10142327431262384
Traditional AC,10,23,0.6791935549763344
Traditional AC,10,25,0.14882432653046665
Traditional AC,10,29,0.2507504273677734
Traditional AC,10,31,0.2340424164736956
Traditional AC,11,5,0.6894110705796884
Traditional AC,11,7,0.45819673048623866
Traditional AC,11,11,1.1217600340881126
Traditional AC,11,13,0.9148322069881134
Traditional AC,11,17,0.5825366136856507
Traditional AC,11,19,0.6425615964407592
Traditional AC,11,23,0.5009557831257966
Traditional AC,11,25,0.34183271499996315
Traditional AC,11,29,0.38956604644289866
Traditional AC,11,31,0.16909820884484528
Traditional AC,12,5,0.20362940257347617
Traditional AC,12,7,0.5878024635934542
Traditional AC,12,11,2.3940368003648564
Traditional AC,12,13,1.5293830713507899
Traditional AC,12,17,0.2915748147002943
Traditional AC,12,19,0.45956614234842463
Traditional AC,12,23,0.43453124552665134
Traditional AC,12,25,0.4479732388021537
Traditional AC,12,29,0.3329208893781011
Traditional AC,12,31,0.23005321002785548
Traditional AC,13,5,0.5523108581592872
Traditional AC,13,7,0.3166344193617397
Traditional AC,13,11,0.6275858276687512
Traditional AC,13,13,0.35138183618440566
Traditional AC,13,17,0.20140625022211384
Traditional AC,13,19,0.3049338411065564
Traditional AC,13,23,0.2659920907908267
Traditional AC,13,25,0.310807601017723
Traditional AC,13,29,0.04805352045426081
Traditional AC,13,31,0.09823008175108722
Traditional AC,14,5,0.8145962605903264
Traditional AC,14,7,0.17176951297109433
Traditional AC,14,11,1.8363732265083468
Traditional AC,14,13,0.942898081285046
Traditional AC,14,17,0.14360317627423733
Traditional AC,14,19,0.5493359000493212
Traditional AC,14,23,1.0377675088792777
Traditional AC,14,25,0.6342851418372579
Traditional AC,14,29,0.02543283242188454
Traditional AC,14,31,0.35316259956620194
Traditional AC,15,5,0.4358080196885674
Traditional AC,15,7,0.4697772015728549
Traditional AC,15,11,0.33201177874947174
Traditional AC,15,13,0.5200250505449422
Traditional AC,15,17,0.15195775825595637
Traditional AC,15,19,0.45026829117207634
Traditional AC,15,23,0.296921172616636
Traditional AC,15,25,0.5621616099162305
Traditional AC,15,29,0.0766292304076849
Traditional AC,15,31,0.20127994978845118
Traditional AC,16,5,0.434965155331141
Traditional AC,16,7,0.05768525189774727
Traditional AC,16,11,1.2132333742431827
Traditional AC,16,13,0.34197763498549383
Traditional AC,16,17,0.1853316934004075
Traditional AC,16,19,0.4433817263924969
Traditional AC,16,23,0.4730080417164987
Traditional AC,16,25,0.3536973769011538
Traditional AC,16,29,0.051639907505490815
Traditional AC,16,31,0.07374363704640761
Traditional AC,17,5,0.2833587913966003
Traditional AC,17,7,0.3806471513890337
Traditional AC,17,11,1.4904452887952941
Traditional AC,17,13,1.0533392453435713
Traditional AC,17,17,0.21557965174823387
Traditional AC,17,19,0.18149064015711597
Traditional AC,17,23,0.18135718207524057
Traditional AC,17,25,0.22476273190865323
Traditional AC,17,29,0.10837270961327453
Traditional AC,17,31,0.17236948954895362
Traditional AC,18,5,0.13435965433315447
Traditional AC,18,7,0.1300217068040132
Traditional AC,18,11,1.8188923724999626
Traditional AC,18,13,0.22658865023045058
Traditional AC,18,17,0.3645451563999344
Traditional AC,18,19,0.2921165868107006
Traditional AC,18,23,0.5153754437281223
Traditional AC,18,25,0.23539741315804297
Traditional AC,18,29,0.15808192024865314
Traditional AC,18,31,0.22289603911939465
Traditional AC,19,5,0.24024184787395425
Traditional AC,19,7,1.4766578711146765
Traditional AC,19,11,3.8252622276419586
Traditional AC,19,13,0.47286777966717464
Traditional AC,19,17,0.4400349358536769
Traditional AC,19,19,0.6475604207138805
Traditional AC,19,23,0.7121184714773354
Traditional AC,19,25,0.8300085409203047
Traditional AC,19,29,0.2979580318006334
Traditional AC,19,31,0.19050356280946315
Traditional AC,20,5,0.2716210582090897
Traditional AC,20,7,0.5535657239230134
Traditional AC,20,11,0.815634238337469
Traditional AC,20,13,2.420622712452504
Traditional AC,20,17,0.3810110701674403
Traditional AC,20,19,0.289953024074858
Traditional AC,20,23,0.5823147235415391
Traditional AC,20,25,0.9564221631147213
Traditional AC,20,29,0.0785340242566334
Traditional AC,20,31,0.1575902972428308
Traditional AC,21,5,0.2052897119669347
Traditional AC,21,7,0.17973386356446844
Traditional AC,21,11,0.7418224382232281
Traditional AC,21,13,1.6482692874884113
Traditional AC,21,17,0.1504512336493164
Traditional AC,21,19,0.18386304894487196
Traditional AC,21,23,0.7947034685672123
Traditional AC,21,25,0.22313593844756338
Traditional AC,21,29,0.20461654751871386
Traditional AC,21,31,0.25175672815152694
Traditional AC,22,5,0.4158433321289706
Traditional AC,22,7,0.30881974745257584
Traditional AC,22,11,0.8123820210191736
Traditional AC,22,13,0.6279570953324171
Traditional AC,22,17,0.37768472106385004
Traditional AC,22,19,0.19208330383703737
Traditional AC,22,23,0.1481923022937193
Traditional AC,22,25,0.1359248938937291
Traditional AC,22,29,0.09632255618102323
Traditional AC,22,31,0.09494266868138199
Traditional AC,23,5,0.125975556101335
Traditional AC,23,7,0.22041486021354575
Traditional AC,23,11,3.0721806520097314
Traditional AC,23,13,1.5913402241497372
Traditional AC,23,17,0.2969796054825811
Traditional AC,23,19,0.2050068499791727
Traditional AC,23,23,0.4358738197076889
Traditional AC,23,25,0.8752480929813548
Traditional AC,23,29,0.2021017752466505
Traditional AC,23,31,0.24904330002442415
Traditional AC,24,5,0.09885737945194381
Traditional AC,24,7,0.10721750817423967
Traditional AC,24,11,0.780480431417089
Traditional AC,24,13,0.4327770498255859
Traditional AC,24,17,0.24325524362426806
Traditional AC,24,19,0.21510770794413134
Traditional AC,24,23,0.8496324645796426
Traditional AC,24,25,0.21086386340764446
Traditional AC,24,29,0.15965647030987887
Traditional AC,24,31,0.15871961432149637
Traditional AC,25,5,0.193234464785722
Traditional AC,25,7,0.5651576744149158
Traditional AC,25,11,1.6162826713706333
Traditional AC,25,13,0.9573920512408087
Traditional AC,25,17,0.17585642533556192
Traditional AC,25,19,0.39277282989138856
Traditional AC,25,23,1.1716219222657047
Traditional AC,25,25,1.4975723865549433
Traditional AC,25,29,0.5412461218356232
Traditional AC,25,31,0.5129746073640862
Traditional AC,26,5,0.24549553015377892
Traditional AC,26,7,0.5759287579498709
Traditional AC,26,11,0.5265612980288562
Traditional AC,26,13,0.36762722879447807
Traditional AC,26,17,0.42982190694198164
Traditional AC,26,19,0.18989925825445947
Traditional AC,26,23,0.4749545913642689
Traditional AC,26,25,0.6634080137239964
Traditional AC,26,29,0.21860210988549528
