campus_count,cluster_load_GW,voltage_kV,short_circuit_ratio,phase_mode,corridor_length_km,short_circuit_strength_GVA
1,0.25,69,3,random,5,0.75
1,0.25,69,3,random,20,0.75
1,0.25,69,3,random,50,0.75
1,0.25,69,3,random,100,0.75
1,0.25,69,3,partial,5,0.75
1,0.25,69,3,partial,20,0.75
1,0.25,69,3,partial,50,0.75
1,0.25,69,3,partial,100,0.75
1,0.25,69,3,coherent,5,0.75
1,0.25,69,3,coherent,20,0.75
1,0.25,69,3,coherent,50,0.75
1,0.25,69,3,coherent,100,0.75
1,0.25,69,5,random,5,1.25
1,0.25,69,5,random,20,1.25
1,0.25,69,5,random,50,1.25
1,0.25,69,5,random,100,1.25
1,0.25,69,5,partial,5,1.25
1,0.25,69,5,partial,20,1.25
1,0.25,69,5,partial,50,1.25
1,0.25,69,5,partial,100,1.25
1,0.25,69,5,coherent,5,1.25
1,0.25,69,5,coherent,20,1.25
1,0.25,69,5,coherent,50,1.25
1,0.25,69,5,coherent,100,1.25
1,0.25,69,10,random,5,2.5
1,0.25,69,10,random,20,2.5
1,0.25,69,10,random,50,2.5
1,0.25,69,10,random,100,2.5
1,0.25,69,10,partial,5,2.5
1,0.25,69,10,partial,20,2.5
1,0.25,69,10,partial,50,2.5
1,0.25,69,10,partial,100,2.5
1,0.25,69,10,coherent,5,2.5
1,0.25,69,10,coherent,20,2.5
1,0.25,69,10,coherent,50,2.5
1,0.25,69,10,coherent,100,2.5
1,0.25,69,20,random,5,5.0
1,0.25,69,20,random,20,5.0
1,0.25,69,20,random,50,5.0
1,0.25,69,20,random,100,5.0
1,0.25,69,20,partial,5,5.0
1,0.25,69,20,partial,20,5.0
1,0.25,69,20,partial,50,5.0
1,0.25,69,20,partial,100,5.0
1,0.25,69,20,coherent,5,5.0
1,0.25,69,20,coherent,20,5.0
1,0.25,69,20,coherent,50,5.0
1,0.25,69,20,coherent,100,5.0
1,0.25,138,3,random,5,0.75
1,0.25,138,3,random,20,0.75
1,0.25,138,3,random,50,0.75
1,0.25,138,3,random,100,0.75
1,0.25,138,3,partial,5,0.75
1,0.25,138,3,partial,20,0.75
1,0.25,138,3,partial,50,0.75
1,0.25,138,3,partial,100,0.75
1,0.25,138,3,coherent,5,0.75
1,0.25,138,3,coherent,20,0.75
1,0.25,138,3,coherent,50,0.75
1,0.25,138,3,coherent,100,0.75
1,0.25,138,5,random,5,1.25
1,0.25,138,5,random,20,1.25
1,0.25,138,5,random,50,1.25
1,0.25,138,5,random,100,1.25
1,0.25,138,5,partial,5,1.25
1,0.25,138,5,partial,20,1.25
1,0.25,138,5,partial,50,1.25
1,0.25,138,5,partial,100,1.25
1,0.25,138,5,coherent,5,1.25
1,0.25,138,5,coherent,20,1.25
1,0.25,138,5,coherent,50,1.25
1,0.25,138,5,coherent,100,1.25
1,0.25,138,10,random,5,2.5
1,0.25,138,10,random,20,2.5
1,0.25,138,10,random,50,2.5
1,0.25,138,10,random,100,2.5
1,0.25,138,10,partial,5,2.5
1,0.25,138,10,partial,20,2.5
1,0.25,138,10,partial,50,2.5
1,0.25,138,10,partial,100,2.5
1,0.25,138,10,coherent,5,2.5
1,0.25,138,10,coherent,20,2.5
1,0.25,138,10,coherent,50,2.5
1,0.25,138,10,coherent,100,2.5
1,0.25,138,20,random,5,5.0
1,0.25,138,20,random,20,5.0
1,0.25,138,20,random,50,5.0
1,0.25,138,20,random,100,5.0
1,0.25,138,20,partial,5,5.0
1,0.25,138,20,partial,20,5.0
1,0.25,138,20,partial,50,5.0
1,0.25,138,20,partial,100,5.0
1,0.25,138,20,coherent,5,5.0
1,0.25,138,20,coherent,20,5.0
1,0.25,138,20,coherent,50,5.0
1,0.25,138,20,coherent,100,5.0
1,0.25,230,3,random,5,0.75
1,0.25,230,3,random,20,0.75
1,0.25,230,3,random,50,0.75
1,0.25,230,3,random,100,0.75
1,0.25,230,3,partial,5,0.75
1,0.25,230,3,partial,20,0.75
1,0.25,230,3,partial,50,0.75
1,0.25,230,3,partial,100,0.75
1,0.25,230,3,coherent,5,0.75
1,0.25,230,3,coherent,20,0.75
1,0.25,230,3,coherent,50,0.75
1,0.25,230,3,coherent,100,0.75
1,0.25,230,5,random,5,1.25
1,0.25,230,5,random,20,1.25
1,0.25,230,5,random,50,1.25
1,0.25,230,5,random,100,1.25
1,0.25,230,5,partial,5,1.25
1,0.25,230,5,partial,20,1.25
1,0.25,230,5,partial,50,1.25
1,0.25,230,5,partial,100,1.25
1,0.25,230,5,coherent,5,1.25
1,0.25,230,5,coherent,20,1.25
1,0.25,230,5,coherent,50,1.25
1,0.25,230,5,coherent,100,1.25
1,0.25,230,10,random,5,2.5
1,0.25,230,10,random,20,2.5
1,0.25,230,10,random,50,2.5
1,0.25,230,10,random,100,2.5
1,0.25,230,10,partial,5,2.5
1,0.25,230,10,partial,20,2.5
1,0.25,230,10,partial,50,2.5
1,0.25,230,10,partial,100,2.5
1,0.25,230,10,coherent,5,2.5
1,0.25,230,10,coherent,20,2.5
1,0.25,230,10,coherent,50,2.5
1,0.25,230,10,coherent,100,2.5
1,0.25,230,20,random,5,5.0
1,0.25,230,20,random,20,5.0
1,0.25,230,20,random,50,5.0
1,0.25,230,20,random,100,5.0
1,0.25,230,20,partial,5,5.0
1,0.25,230,20,partial,20,5.0
1,0.25,230,20,partial,50,5.0
1,0.25,230,20,partial,100,5.0
1,0.25,230,20,coherent,5,5.0
1,0.25,230,20,coherent,20,5.0
1,0.25,230,20,coherent,50,5.0
1,0.25,230,20,coherent,100,5.0
