architecture,campus_count,cluster_load_GW,voltage_kV,short_circuit_ratio,phase_mode,corridor_length_km,ac_facing_sources,short_circuit_strength_GVA,trials,p50_thdv_pct,p95_thdv_pct,p99_thdv_pct,mean_thdv_pct,max_individual_p95_pct,dominant_harmonic,exceeds_5pct_guide_p95
Traditional AC,1,0.25,69,3,random,5,1,0.75,600,12.040326267945208,18.83845719519382,23.333386421589143,12.693015300049067,14.205871711054568,11,True
Local SST,1,0.25,69,3,random,5,1,0.75,600,4.521456820429984,6.970012444338342,8.00683526474501,4.668725328419426,5.385169454208298,11,True
Subtransmission DC backbone,1,0.25,69,3,random,5,1,0.75,600,1.5722960041915417,2.5412564523785206,2.9997782632171197,1.664380967540004,2.0073510327435016,11,False
Traditional AC,1,0.25,69,3,random,20,1,0.75,600,13.103330082463874,21.497227498907893,25.536115700926537,13.881869288008339,15.623559454220636,11,True
Local SST,1,0.25,69,3,random,20,1,0.75,600,4.974659100385798,7.808813394906103,9.363966408315136,5.248078074214786,6.128914264815653,11,True
Subtransmission DC backbone,1,0.25,69,3,random,20,1,0.75,600,1.650384043544217,2.5801296652248653,3.132843327828715,1.7090147253122883,1.9845486469093256,11,False
Traditional AC,1,0.25,69,3,random,50,1,0.75,600,15.014450930414597,24.382191591415257,28.63040883459887,15.951651907849321,18.37783100804751,11,True
Local SST,1,0.25,69,3,random,50,1,0.75,600,5.517646823199013,8.743274224252552,10.01750402125594,5.798357643290039,6.752272052076711,11,True
Subtransmission DC backbone,1,0.25,69,3,random,50,1,0.75,600,1.6994427091318638,2.6249527648265993,3.4280449893812643,1.7566022238150125,2.043524726498389,11,False
Traditional AC,1,0.25,69,3,random,100,1,0.75,600,16.912894851477112,27.606881123067318,32.35588415589522,17.66921972887284,20.810956362730817,11,True
Local SST,1,0.25,69,3,random,100,1,0.75,600,6.490978375878653,10.410949327040559,12.464894819247979,6.789862996118239,8.114434024164229,11,True
Subtransmission DC backbone,1,0.25,69,3,random,100,1,0.75,600,1.7462364517839042,2.6709326452470457,3.2228500940964606,1.8270783298570799,2.0783963263642287,11,False
Traditional AC,1,0.25,69,3,partial,5,1,0.75,600,12.10807034207511,19.175375870510603,22.733282885787947,12.729775962819788,14.32964067091499,11,True
Local SST,1,0.25,69,3,partial,5,1,0.75,600,4.449935584915541,7.332658436141232,8.483156909914984,4.699331759951239,5.728669427195458,11,True
Subtransmission DC backbone,1,0.25,69,3,partial,5,1,0.75,600,1.574810365516979,2.4873285508897784,2.944001198959397,1.643998869478238,1.940327125084403,11,False
Traditional AC,1,0.25,69,3,partial,20,1,0.75,600,13.281097466912666,21.51080232673407,25.35906385172619,14.012491734279434,16.23206928405555,11,True
Local SST,1,0.25,69,3,partial,20,1,0.75,600,5.203349586254081,8.014794070144829,9.449488435272416,5.370314522861031,6.2033292945226215,11,True
Subtransmission DC backbone,1,0.25,69,3,partial,20,1,0.75,600,1.6097128871923703,2.5297646214135985,3.0773445937911923,1.6864839110980347,1.9251137132809593,11,False
Traditional AC,1,0.25,69,3,partial,50,1,0.75,600,14.900266626489177,23.243948935235128,26.96932360200084,15.480365842326998,17.56964496981805,11,True
Local SST,1,0.25,69,3,partial,50,1,0.75,600,5.606690825634059,8.871812473897407,11.106095364331791,5.854197429311976,7.095916006882229,11,True
Subtransmission DC backbone,1,0.25,69,3,partial,50,1,0.75,600,1.6751124775139228,2.5895700679270024,3.025242533924189,1.7512718474871045,2.0674626906982407,11,False
Traditional AC,1,0.25,69,3,partial,100,1,0.75,600,16.882039318818045,26.60505291221856,30.697580021441283,17.47328742861547,19.586011477054416,11,True
Local SST,1,0.25,69,3,partial,100,1,0.75,600,6.380323638137636,9.535577664278955,10.624506105599242,6.593698264951361,7.318756120497371,11,True
Subtransmission DC backbone,1,0.25,69,3,partial,100,1,0.75,600,1.771183698883188,2.8204139857525306,3.4321006419139914,1.8377553789453154,2.16591544137998,11,False
Traditional AC,1,0.25,69,3,coherent,5,1,0.75,600,11.772022109196836,18.65020737651849,21.89624935460744,12.31996979479673,14.05327306226453,11,True
Local SST,1,0.25,69,3,coherent,5,1,0.75,600,4.487236634251024,7.09816936852714,8.034048723964963,4.603591648583999,5.406563933964783,11,True
Subtransmission DC backbone,1,0.25,69,3,coherent,5,1,0.75,600,1.5656232852439378,2.534471779922266,3.064820740024561,1.6677661392104575,2.014510818182297,11,False
Traditional AC,1,0.25,69,3,coherent,20,1,0.75,600,13.367922779924122,21.5360736418483,25.45033639645872,14.022664780986297,16.30456768304497,11,True
Local SST,1,0.25,69,3,coherent,20,1,0.75,600,4.940656964554527,8.174096197375755,9.541051208452604,5.235188297972565,6.413036250232839,11,True
Subtransmission DC backbone,1,0.25,69,3,coherent,20,1,0.75,600,1.6399621640968665,2.5595327391389415,2.9141405350941127,1.719693653084969,2.004363394965607,11,False
