dataset_id,dataset_role,pocket_id,source_bus,load_bus,voltage_kv,length_km,r_ohm_km,x_ohm_km,current_limit_kA,short_circuit_gva,source_q_limit_mvar,converter_rating_mw,existing_load_mw,vdc_pp_kv,vdc_pp_kv_effective
A,Full Texas Combined T&D,A-mpc-0001,110001,110041,138.0,120.0,0.02551896,0.1398147,2.0,3.0,220.0,800.0,2.56,,276.0
A,Full Texas Combined T&D,A-mpc-0002,110001,110113,138.0,17.063423999999998,0.016517857142857143,0.1,2.0,3.0,220.0,800.0,0.66,,276.0
A,Full Texas Combined T&D,A-mpc-0003,110001,230292,138.0,97.29579600000001,0.021413192405558817,0.1,2.0,3.0,220.0,800.0,0.0,,276.0
A,Full Texas Combined T&D,A-mpc-0004,110001,270046,138.0,78.17562,0.015006090133982948,0.10000000000000002,2.0,3.0,220.0,800.0,0.51,,276.0
A,Full Texas Combined T&D,A-mpc-0008,110005,110065,138.0,24.757199999999997,0.01884615384615385,0.1,2.0,3.0,220.0,800.0,3.24,,276.0
A,Full Texas Combined T&D,A-mpc-0009,110005,111259,138.0,35.174268,0.014022739577693557,0.1,2.0,3.0,220.0,800.0,0.0,,276.0
A,Full Texas Combined T&D,A-mpc-0010,110005,111363,138.0,36.583524,0.014523685580426863,0.1,2.0,3.0,220.0,800.0,0.0,,276.0
A,Full Texas Combined T&D,A-mpc-0011,110005,111411,138.0,28.718352,0.027188328912466846,0.1,2.0,3.0,220.0,800.0,0.0,,276.0
A,Full Texas Combined T&D,A-mpc-0015,110101,110009,138.0,52.009164000000006,0.013255217868912485,0.1,2.0,3.0,220.0,800.0,5.9,,276.0
A,Full Texas Combined T&D,A-mpc-0016,110009,110105,138.0,43.667891999999995,0.01993022241604885,0.1,2.0,3.0,220.0,800.0,4.8,,276.0
A,Full Texas Combined T&D,A-mpc-0017,110009,110121,138.0,67.24436399999999,0.018889832908524497,0.10000000000000002,2.0,3.0,220.0,800.0,0.49,,276.0
A,Full Texas Combined T&D,A-mpc-0021,110123,110013,138.0,35.021916,0.016095704187058184,0.10000000000000002,2.0,3.0,220.0,800.0,15.3,,276.0
A,Full Texas Combined T&D,A-mpc-0022,110132,110013,138.0,50.00954399999999,0.015498857578065501,0.1,2.0,3.0,220.0,800.0,15.3,,276.0
A,Full Texas Combined T&D,A-mpc-0026,110017,110137,138.0,34.355376,0.01762749445676275,0.1,2.0,3.0,220.0,800.0,14.2,,276.0
A,Full Texas Combined T&D,A-mpc-0027,110017,110157,138.0,44.56296,0.014401709401709402,0.1,2.0,3.0,220.0,800.0,6.3,,276.0
A,Full Texas Combined T&D,A-mpc-0028,110017,111409,138.0,74.08116,0.019408740359897172,0.1,2.0,3.0,220.0,800.0,0.0,,276.0
A,Full Texas Combined T&D,A-mpc-0032,110021,110053,138.0,51.190272,0.01715029761904762,0.1,2.0,3.0,220.0,800.0,4.25,,276.0
