architecture,ac_voltage_ll_kV,ac_line_to_ground_peak_kV,dc_pole_kV,voltage_envelope_factor,current_limit_kA,ac_power_factor,dc_current_retention_factor,converter_cap_multiplier,ac_transfer_capacity_MW,dc_thermal_capacity_MW,converter_cap_MW,transfer_capacity_MW,capacity_multiplier_vs_ac,capacity_increase_pct,binding_constraint,reference_note
Traditional AC,138,112.6765281680262,,,2.0,0.98,1.0,,468.4851024312299,,,468.4851024312299,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,2.0,0.98,1.0,2.0,468.4851024312299,552.0,936.9702048624598,552.0,1.1782658554890322,17.826585548903218,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,2.0,0.98,1.0,2.0,468.4851024312299,676.0591690081571,936.9702048624598,676.0591690081571,1.4430750636460155,44.307506364601544,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,2.050632911392405,0.98,1.0,,480.34548477126094,,,480.34548477126094,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,2.050632911392405,0.98,1.0,2.0,480.34548477126094,565.9746835443037,960.6909695425219,565.9746835443037,1.1782658554890324,17.82658554890324,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,2.050632911392405,0.98,1.0,2.0,480.34548477126094,693.1745910083636,960.6909695425219,693.1745910083636,1.4430750636460155,44.307506364601544,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,2.1012658227848102,0.98,1.0,,492.2058671112922,,,492.2058671112922,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,2.1012658227848102,0.98,1.0,2.0,492.2058671112922,579.9493670886076,984.4117342225844,579.9493670886076,1.1782658554890322,17.826585548903218,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,2.1012658227848102,0.98,1.0,2.0,492.2058671112922,710.2900130085702,984.4117342225844,710.2900130085702,1.4430750636460155,44.307506364601544,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,2.151898734177215,0.98,1.0,,504.0662494513232,,,504.0662494513232,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,2.151898734177215,0.98,1.0,2.0,504.0662494513232,593.9240506329114,1008.1324989026464,593.9240506329114,1.1782658554890326,17.82658554890326,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,2.151898734177215,0.98,1.0,2.0,504.0662494513232,727.4054350087766,1008.1324989026464,727.4054350087766,1.4430750636460157,44.307506364601565,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,2.2025316455696204,0.98,1.0,,515.9266317913545,,,515.9266317913545,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,2.2025316455696204,0.98,1.0,2.0,515.9266317913545,607.8987341772153,1031.853263582709,607.8987341772153,1.1782658554890324,17.82658554890324,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,2.2025316455696204,0.98,1.0,2.0,515.9266317913545,744.5208570089833,1031.853263582709,744.5208570089833,1.4430750636460157,44.307506364601565,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,2.2531645569620253,0.98,1.0,,527.7870141313856,,,527.7870141313856,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,2.2531645569620253,0.98,1.0,2.0,527.7870141313856,621.873417721519,1055.5740282627712,621.873417721519,1.1782658554890322,17.826585548903218,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,2.2531645569620253,0.98,1.0,2.0,527.7870141313856,761.6362790091897,1055.5740282627712,761.6362790091897,1.4430750636460155,44.307506364601544,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,2.3037974683544302,0.98,1.0,,539.6473964714166,,,539.6473964714166,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,2.3037974683544302,0.98,1.0,2.0,539.6473964714166,635.8481012658227,1079.2947929428333,635.8481012658227,1.1782658554890324,17.82658554890324,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,2.3037974683544302,0.98,1.0,2.0,539.6473964714166,778.7517010093961,1079.2947929428333,778.7517010093961,1.4430750636460155,44.307506364601544,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,2.3544303797468356,0.98,1.0,,551.5077788114478,,,551.5077788114478,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,2.3544303797468356,0.98,1.0,2.0,551.5077788114478,649.8227848101266,1103.0155576228956,649.8227848101266,1.1782658554890324,17.82658554890324,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,2.3544303797468356,0.98,1.0,2.0,551.5077788114478,795.8671230096028,1103.0155576228956,795.8671230096028,1.4430750636460157,44.307506364601565,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,2.4050632911392404,0.98,1.0,,563.368161151479,,,563.368161151479,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,2.4050632911392404,0.98,1.0,2.0,563.368161151479,663.7974683544304,1126.736322302958,663.7974683544304,1.1782658554890324,17.82658554890324,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,2.4050632911392404,0.98,1.0,2.0,563.368161151479,812.9825450098092,1126.736322302958,812.9825450098092,1.4430750636460155,44.307506364601544,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,2.4556962025316453,0.98,1.0,,575.22854349151,,,575.22854349151,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,2.4556962025316453,0.98,1.0,2.0,575.22854349151,677.7721518987341,1150.45708698302,677.7721518987341,1.1782658554890324,17.82658554890324,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,2.4556962025316453,0.98,1.0,2.0,575.22854349151,830.0979670100156,1150.45708698302,830.0979670100156,1.4430750636460157,44.307506364601565,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,2.5063291139240507,0.98,1.0,,587.0889258315412,,,587.0889258315412,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,2.5063291139240507,0.98,1.0,2.0,587.0889258315412,691.746835443038,1174.1778516630825,691.746835443038,1.1782658554890324,17.82658554890324,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,2.5063291139240507,0.98,1.0,2.0,587.0889258315412,847.2133890102223,1174.1778516630825,847.2133890102223,1.4430750636460155,44.307506364601544,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,2.5569620253164556,0.98,1.0,,598.9493081715724,,,598.9493081715724,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,2.5569620253164556,0.98,1.0,2.0,598.9493081715724,705.7215189873417,1197.8986163431448,705.7215189873417,1.1782658554890322,17.826585548903218,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,2.5569620253164556,0.98,1.0,2.0,598.9493081715724,864.3288110104287,1197.8986163431448,864.3288110104287,1.4430750636460152,44.30750636460152,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,2.607594936708861,0.98,1.0,,610.8096905116035,,,610.8096905116035,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,2.607594936708861,0.98,1.0,2.0,610.8096905116035,719.6962025316456,1221.619381023207,719.6962025316456,1.1782658554890322,17.826585548903218,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,2.607594936708861,0.98,1.0,2.0,610.8096905116035,881.4442330106353,1221.619381023207,881.4442330106353,1.4430750636460155,44.307506364601544,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,2.6582278481012658,0.98,1.0,,622.6700728516346,,,622.6700728516346,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,2.6582278481012658,0.98,1.0,2.0,622.6700728516346,733.6708860759494,1245.3401457032692,733.6708860759494,1.1782658554890324,17.82658554890324,thermal_current_limit,
