number,citation_key,status,local_path,source_url,notes
4,rothmund_2019_dc_transformer,downloaded,downloads/ref04_rothmund_dc_transformer_future_data_centers_2019.pdf,https://doi.org/10.1109/JESTPE.2018.2886139,author-provided IEEE PDF for review
5,zheng_2021_ms4t,downloaded,downloads/ref05_zheng_ms4t_mvdc_microgrids_2021.pdf,https://doi.org/10.1109/TPEL.2021.3066908,author-provided IEEE PDF for review
6,samanta_2020_mv_data_center_converter,downloaded,downloads/ref06_samanta_mv_data_center_converter_2020.pdf,https://doi.org/10.1109/ECCE44975.2020.9235701,author-provided IEEE PDF for review
7,choukse_2025_power_stabilization,downloaded,downloads/ref07_choukse_power_stabilization_ai_training_datacenters.pdf,https://arxiv.org/pdf/2508.14318,open arXiv PDF
8,ieee_519_2022,downloaded,downloads/ref08_ieee_519_2022_redline.pdf,https://standards.ieee.org/ieee/519/10422/,Stanford-authorized IEEE Xplore redline PDF for local review; restrictions apply
9,caiso_2024_san_jose_tpp,downloaded,downloads/ref09_caiso_san_jose_transmission_plan_decision_2024.pdf,https://www.caiso.com/documents/decision-on-modifications-to-the-2021-2022-transmission-plan-study-nov-2024.pdf,public CAISO PDF
12,lspowergrid_2025_santa_clara_fact_sheet,downloaded,downloads/ref12_lspower_power_santa_clara_valley_fact_sheet.pdf,https://www.lspowergrid.com/wp-content/uploads/Power-Santa-Clara-Valley-2-Pager.pdf,public LS Power Grid PDF
13,iec_61000_3_3_2013,not_downloaded,,https://webstore.iec.ch/en/publication/4150,IEC standard not stored locally
13-support,clarkson_2011_iec61000_3_3_impedance_measurement,downloaded,downloads/ref13_support_clarkson_iec61000_3_3_impedance_measurement_2011.pdf,https://doi.org/10.1109/TIM.2011.2135430,related IEEE TIM paper for IEC 61000-3-3 compliance testing; not the IEC standard text
14,nerc_2019_interconnection_oscillation,downloaded,downloads/ref14_nerc_interconnection_oscillation_analysis_2019.pdf,https://www.ercot.com/files/docs/2019/10/02/Interconnection_Oscillation_Analysis_NERC.pdf,NERC report PDF mirrored by ERCOT; official NERC PDF path returned 404 on 2026-06-07
15,shehabi_2024_us_data_center_energy,downloaded,downloads/ref15_lbnl_us_data_center_energy_usage_2024.pdf,https://escholarship.org/uc/item/32d6m0d1,official eScholarship/LBNL PDF provided by author
16,epri_2024_powering_intelligence,downloaded,downloads/ref16_epri_powering_intelligence_2024.pdf,https://restservice.epri.com/publicdownload/000000003002028905/0/Product,public EPRI PDF
19,ocp_2026_lvdc_whitepaper,downloaded,downloads/ref19_ocp_lvdc_white_paper_2026.pdf,https://www.opencompute.org/documents/dcf-power-distribution-lvdc-white-paper-version-1-0-final-pdf-1,official OCP PDF provided by author
20,she_2013_sst_review,downloaded,downloads/ref20_she_sst_review_2013.pdf,https://doi.org/10.1109/JESTPE.2013.2277917,author-provided IEEE PDF for review
21,cigre_2013_hvdc_grid_feasibility,not_downloaded,,https://www.e-cigre.org/publications/detail/533-hvdc-grid-feasibility-study.html,CIGRE purchase cost barrier reported by author
22,cigre_2018_hvdc_grid_protection,not_downloaded,,https://www.e-cigre.org/publications/detail/739-protection-and-local-control-of-hvdc-grids.html,CIGRE purchase cost barrier reported by author
23,cigre_2021_dcdc_hvdc_grids,downloaded,downloads/ref23_cigre_dcdc_converters_hvdc_grids_2021.pdf,https://electra.cigre.org/315-april-2021/technical-brochures/dc-dc-converters-in-hvdc-grids-and-for-connections-to-hvdc-systems.html,downloadable CIGRE Electra article/summary PDF for TB827; full e-cigre brochure remains purchase access
24,colangelo_2026_ai_data_centres_grid_interactive,downloaded,downloads/ref24_colangelo_ai_data_centres_grid_interactive_assets_2026.pdf,https://www.nature.com/articles/s41560-025-01927-1.pdf,author-provided Nature Energy PDF for local review; restrictions apply
25,xiao_2025_sustainable_ai_servers_usa,downloaded,downloads/ref25_xiao_sustainable_ai_servers_usa_2025.pdf,https://www.nature.com/articles/s41893-025-01681-y.pdf,open-access Nature Sustainability PDF
26,kemp_2025_transmission_value_us_power_markets,downloaded,downloads/ref26_kemp_transmission_value_us_power_markets_2025.pdf,https://www.nature.com/articles/s41467-025-63143-5.pdf,open-access Nature Communications PDF
27,yang_2025_inverter_dynamic_modeling,downloaded,downloads/ref27_yang_inverter_dynamic_modeling_2025.pdf,https://www.nature.com/articles/s41467-025-66604-z.pdf,open-access Nature Communications PDF
28,kim_2026_flexibility_aware_data_center_siting,downloaded,downloads/ref28_kim_flexibility_aware_data_center_siting_2026.pdf,https://www.nature.com/articles/s41467-026-72324-9_reference.pdf,open-access Nature Communications Article-in-Press PDF; article access page also saved as downloads/ref28_kim_flexibility_aware_data_center_siting_2026_access_page.html
